"filename", "language", "C++", "CMake", "JSON", "CSS", "JavaScript", "HTML", "comment", "blank", "total"
"e:\Code\CppTide\src\http\plugins\SensorSerialPlugin.cpp", "C++", 42, 0, 0, 0, 0, 0, 11, 10, 63
"e:\Code\CppTide\src\http\plugins\SensorSerialPlugin.hpp", "C++", 28, 0, 0, 0, 0, 0, 15, 12, 55
"e:\Code\CppTide\src\http\plugins\TimerPlugin.cpp", "C++", 16, 0, 0, 0, 0, 0, 7, 7, 30
"e:\Code\CppTide\src\http\plugins\TimerPlugin.hpp", "C++", 20, 0, 0, 0, 0, 0, 9, 10, 39
"e:\Code\CppTide\src\http\plugins\YOLOPlugin.cpp", "C++", 21, 0, 0, 0, 0, 0, 7, 11, 39
"e:\Code\CppTide\src\http\plugins\YOLOPlugin.hpp", "C++", 21, 0, 0, 0, 0, 0, 9, 12, 42
"e:\Code\CppTide\src\http\test\CMakeLists.txt", "CMake", 0, 5, 0, 0, 0, 0, 6, 4, 15
"e:\Code\CppTide\src\http\test\test_main.cc", "C++", 21, 0, 0, 0, 0, 0, 5, 7, 33
"e:\Code\CppTide\src\http\views\Base.cpp", "C++", 88, 0, 0, 0, 0, 0, 1, 1, 90
"e:\Code\CppTide\src\http\views\Base.hpp", "C++", 8, 0, 0, 0, 0, 0, 1, 1, 10
"e:\Code\CppTide\src\http\views\CameraPage.cpp", "C++", 394, 0, 0, 0, 0, 0, 1, 1, 396
"e:\Code\CppTide\src\http\views\CameraPage.hpp", "C++", 8, 0, 0, 0, 0, 0, 1, 1, 10
"e:\Code\CppTide\src\http\views\ChartPage.cpp", "C++", 180, 0, 0, 0, 0, 0, 1, 1, 182
"e:\Code\CppTide\src\http\views\ChartPage.hpp", "C++", 8, 0, 0, 0, 0, 0, 1, 1, 10
"e:\Code\CppTide\src\http\views\HomePage.cpp", "C++", 119, 0, 0, 0, 0, 0, 2, 1, 122
"e:\Code\CppTide\src\http\views\HomePage.hpp", "C++", 8, 0, 0, 0, 0, 0, 1, 1, 10
"e:\Code\CppTide\src\http\views\LoginPage.cpp", "C++", 117, 0, 0, 0, 0, 0, 1, 1, 119
"e:\Code\CppTide\src\http\views\LoginPage.hpp", "C++", 8, 0, 0, 0, 0, 0, 1, 1, 10
"e:\Code\CppTide\src\http\views\MapPage.cpp", "C++", 215, 0, 0, 0, 0, 0, 1, 1, 217
"e:\Code\CppTide\src\http\views\MapPage.hpp", "C++", 8, 0, 0, 0, 0, 0, 1, 1, 10
"e:\Code\CppTide\src\http\views\RegisterPage.cpp", "C++", 130, 0, 0, 0, 0, 0, 1, 1, 132
"e:\Code\CppTide\src\http\views\RegisterPage.hpp", "C++", 8, 0, 0, 0, 0, 0, 1, 1, 10
"e:\Code\CppTide\src\http\views\static\bootstrap\bootstrap.min.css", "CSS", 0, 0, 0, 6410, 0, 0, 7, 1355, 7772
"e:\Code\CppTide\src\http\views\static\bootstrap\bootstrap@4.6.min.css", "CSS", 0, 0, 0, 9466, 0, 0, 7, 2059, 11532
"e:\Code\CppTide\src\http\views\static\css\init.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 3
"e:\Code\CppTide\src\http\views\static\css\map.css", "CSS", 0, 0, 0, 6414, 0, 0, 7, 1356, 7777
"e:\Code\CppTide\src\http\views\static\echarts\echarts.js", "JavaScript", 0, 0, 0, 0, 71889, 0, 10341, 12943, 95173
"e:\Code\CppTide\src\http\views\static\echarts\echarts.min.js", "JavaScript", 0, 0, 0, 0, 3, 0, 40, 3, 46
"e:\Code\CppTide\src\http\views\static\jquery\jquery.3.6.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 0, 2
"e:\Code\CppTide\src\http\views\static\js\register.js", "JavaScript", 0, 0, 0, 0, 40, 0, 6, 3, 49
"e:\Code\CppTide\src\http\views\static\map\coordtransform_utils.js", "JavaScript", 0, 0, 0, 0, 101, 0, 45, 7, 153
"e:\Code\CppTide\src\http\views\templates\Base.csp", "HTML", 0, 0, 0, 0, 0, 53, 0, 4, 57
"e:\Code\CppTide\src\http\views\templates\Base.html", "HTML", 0, 0, 0, 0, 0, 53, 0, 4, 57
"e:\Code\CppTide\src\http\views\templates\CameraPage.csp", "HTML", 0, 0, 0, 0, 0, 325, 3, 35, 363
"e:\Code\CppTide\src\http\views\templates\CameraPage.html", "HTML", 0, 0, 0, 0, 0, 325, 3, 35, 363
"e:\Code\CppTide\src\http\views\templates\ChartPage.csp", "HTML", 0, 0, 0, 0, 0, 137, 2, 10, 149
"e:\Code\CppTide\src\http\views\templates\ChartPage.html", "HTML", 0, 0, 0, 0, 0, 137, 2, 10, 149
"e:\Code\CppTide\src\http\views\templates\HomePage.csp", "HTML", 0, 0, 0, 0, 0, 65, 0, 5, 70
"e:\Code\CppTide\src\http\views\templates\HomePage.html", "HTML", 0, 0, 0, 0, 0, 65, 0, 5, 70
"e:\Code\CppTide\src\http\views\templates\LoginPage.csp", "HTML", 0, 0, 0, 0, 0, 77, 0, 9, 86
"e:\Code\CppTide\src\http\views\templates\LoginPage.html", "HTML", 0, 0, 0, 0, 0, 77, 0, 9, 86
"e:\Code\CppTide\src\http\views\templates\MapPage.csp", "HTML", 0, 0, 0, 0, 0, 159, 4, 17, 180
"e:\Code\CppTide\src\http\views\templates\MapPage.html", "HTML", 0, 0, 0, 0, 0, 159, 4, 17, 180
"e:\Code\CppTide\src\http\views\templates\RegisterPage.csp", "HTML", 0, 0, 0, 0, 0, 91, 0, 8, 99
"e:\Code\CppTide\src\http\views\templates\RegisterPage.html", "HTML", 0, 0, 0, 0, 0, 91, 0, 8, 99
"e:\Code\CppTide\src\serial\AsyncSerial.cpp", "C++", 217, 0, 0, 0, 0, 0, 10, 33, 260
"e:\Code\CppTide\src\serial\AsyncSerial.hpp", "C++", 62, 0, 0, 0, 0, 0, 31, 30, 123
"e:\Code\CppTide\src\serial\SerialBase.hpp", "C++", 29, 0, 0, 0, 0, 0, 3, 7, 39
"e:\Code\CppTide\src\serial\SerialCallback.cpp", "C++", 94, 0, 0, 0, 0, 0, 16, 16, 126
"e:\Code\CppTide\src\serial\SerialCallback.hpp", "C++", 16, 0, 0, 0, 0, 0, 5, 5, 26
"e:\Code\CppTide\src\v5lite\MultiVideoCapture.cpp", "C++", 69, 0, 0, 0, 0, 0, 1, 13, 83
"e:\Code\CppTide\src\v5lite\MultiVideoCapture.hpp", "C++", 25, 0, 0, 0, 0, 0, 17, 14, 56
"e:\Code\CppTide\src\v5lite\V5Lite.cpp", "C++", 192, 0, 0, 0, 0, 0, 12, 27, 231
"e:\Code\CppTide\src\v5lite\V5Lite.hpp", "C++", 63, 0, 0, 0, 0, 0, 9, 13, 85
"Total", "-", 14024, 5, 79, 22293, 72034, 1814, 11332, 18853, 140434
